id,name,dob,position,initials,nation
1,Aaron Cresswell,1989/12/15,LB,AC,England
2,Aaron Lennon,1987/04/16,MF,AL,England
3,Aaron Mooy,1990/09/15,MF,AM,Australia
4,Aaron Ramsey,1990/12/26,MF,AR,Wales
5,Aaron Rowe,2000/09/07,ST,AR,England
6,Aaron Wan-Bissaka,1997/11/26,MF,AW,England
7,Abdelhamid Sabiri,1996/11/28,MF,AS,Morocco
8,Abdoulaye Doucouré,1993/01/01,MF,AD,France
9,Aboubakar Kamara,1995/03/07,ST,AK,France
10,Adalberto Peñaranda Maestre,1997/05/31,ST,APM,Venezuela
11,Adam Lallana,1988/05/10,MF,AL,England
12,Adam Masina,1994/01/02,LB,AM,Italy
13,Adam Smith,1991/04/29,RB,AS,England
14,Adama Diakhaby,1996/07/05,ST,AD,France
15,Adama Traoré,1996/01/25,MF,AT,Spain
16,Ademola Lookman,1997/10/20,ST,AL,England
17,Adrián,1987/01/03,GK,A,Spain
18,Adrian Mariappa,1986/10/03,CB,AM,Jamaica
19,Adrien Sebastian Perruchet Silva,1989/03/15,MF,ASP,Portugal
20,Ainsley Maitland-Niles,1997/08/29,MF,AM,England
21,Alberto Moreno,1992/07/05,LB,AM,Spain
22,Aleksandar Mitrović,1994/09/16,ST,AM,Serbia
23,Alex Iwobi,1996/05/03,ST,AI,Nigeria
24,Alex McCarthy,1989/12/03,GK,AM,England
25,Alex Oxlade-Chamberlain,1993/08/15,MF,AO,England
26,Alex Pritchard,1993/05/03,MF,AP,England
27,Alex Smithies,1990/03/05,GK,AS,England
28,Alexander Sørloth,1995/12/05,ST,AS,Norway
29,Alexandre Lacazette,1991/05/28,ST,AL,France
30,Alexandre Nascimento Costa Silva,1997/03/16,ST,ANC,Portugal
31,Alexis Sanchez,1988/12/19,ST,AS,Chile
32,Alfie Jones,1997/10/07,DF,AJ,England
33,Alfie Mawson,1994/01/19,CB,AM,England
34,Alfie Whiteman,1998/10/02,GK,AW,England
35,Ali Koiki,2000/08/22,Defender,AK,England
36,Alireza Jahanbakhsh,1993/08/11,ST,AJ,Iran
37,Alisson Becker,1992/10/02,GK,AB,Brazil
38,Alvaro Morata,1992/10/23,ST,AM,Spain
39,Ander Herrera,1989/08/14,MF,AH,Spain
40,André Gomes,1993/07/30,MF,AG,Portugal
41,Andre Gray,1991/06/26,ST,AG,England
42,André Schürrle,1990/11/06,MF,AS,Germany
43,André-Frank Zambo Anguissa,1995/11/16,MF,AZA,Cameroon
44,Andreas Christensen,1996/04/10,CB,AC,Denmark
45,Andreas Pereira,1996/01/01,MF,AP,Brazil
46,Andrew Robertson,1994/03/11,LB,AR,Scotland
47,Andrew Surman,1986/08/20,MF,AS,England
48,Andriy Yarmolenko,1989/10/23,ST,AY,Ukraine
49,Andros Townsend,1991/07/16,MF,AT,England
50,Andy Carroll,1989/01/06,ST,AC,England
51,Angel Gomes,2000/08/31,MF,AG,England
52,Angelo Ogbonna,1988/05/23,CB,AO,Italy
53,Angus Gunn,1996/01/22,GK,AG,England
54,Anthony Driscoll-Glennon,1999/11/26,Defender,AD,England
55,Anthony Knockaert,1991/11/20,MF,AK,France
56,Anthony Martial,1995/12/05,ST,AM,France
57,Antonio Barreca,1995/03/18,Defender,AB,Italy
58,Antonio Rüdiger,1993/03/03,CB,AR,Germany
59,Antonio Valencia,1985/08/04,RB/RM,AV,Ecuador
60,Arijanet Muric,1998/11/07,GK,AM,Montenegro
61,Aron Einar Gunnarsson,1989/04/22,MF,AEG,Iceland
62,Arthur Masuaku,1993/11/07,LB,AM,France
63,Artur Boruc,1980/02/20,GK,AB,Poland
64,Ashley Barnes,1989/10/30,ST,AB,England
65,Ashley Westwood,1990/04/01,MF,AW,England
66,Ashley Young,1985/07/09,MF,AY,England
67,Asmir Begović,1987/06/20,GK,AB,Bosnia and Herzegovina
68,Aymeric Laporte,1994/05/27,CB,AL,France
69,Ayoze Perez,1993/07/29,ST,AP,Spain
70,Bakary Sako,1988/04/26,MF,BS,Mali
71,Ben Chilwell,1996/12/21,LB,BC,England
72,Ben Davies,1993/04/24,LB/CB,BD,Wales
73,Ben Foster,1983/04/03,GK,BF,England
74,Ben Gibson,1993/01/15,CB,BG,England
75,Ben Hamer,1987/11/20,GK,BH,England
76,Ben Johnson,2000/01/24,ST,BJ,England
77,Ben Mee,1989/09/21,CB,BM,England
78,Ben White,1997/10/08,RB/CB,BW,England
79,Ben Wilmot,1999/11/04,Defender,BW,England
80,Benjamin Mendy,1994/07/17,LB,BM,France
81,Beram Kayal,1988/05/02,MF,BK,Israel
82,Bernard Anício Caldeira Duarte,1992/09/08,MF,BAC,Brazil
83,Bernardo,1995/05/14,Defender,B,Brazil
84,Bernardo Silva,1994/08/10,MF,BS,Portugal
85,Bernd Leno,1992/03/04,GK,BL,Germany
86,Bobby Reid,1993/02/02,MF,BR,England
87,Brian Murphy,1983/05/07,GK,BM,Republic of Ireland
88,Bright Enobakhare,1998/02/08,ST,BE,England
89,Bruno Écuélé Manga,1988/07/16,CB,BEM,Gabon
90,Bruno Saltor Grau,1980/10/01,Defender,BSG,Spain
91,Caglar Söyüncü,1996/05/23,CB,CS,Turkey
92,Callum Hudson-Odoi,2000/11/07,MF,CH,England
93,Callum Paterson,1994/10/13,Defender,CP,Scotland
94,Callum Roberts,1997/04/14,ST,CR,England
95,Callum Slattery,1999/02/08,MF,CS,England
96,Callum Wilson,1992/02/27,ST,CW,England
97,Calum Chambers,1995/01/20,RB/CB,CC,England
98,Cameron John,1999/08/24,Defender,CJ,England
99,Carl Jenkinson,1992/02/08,RB,CJ,England
100,Carlos Sánchez,1986/02/06,MF,CS,Colombia
101,Cedric Soares,1991/08/31,RB,CS,Portugal
102,Cenk Tosun,1991/06/07,ST,CT,Turkey
103,Cesar Azpilicueta,1989/08/28,RB/CB,CA,Spain
104,Cesc Fabregas,1987/05/04,MF,CF,Spain
105,Charlie Austin,1989/07/05,ST,CA,England
106,Charlie Daniels,1986/09/07,RB,CD,England
107,Charlie Taylor,1993/09/18,LB,CT,England
108,Cheikhou Kouyaté,1989/12/21,MF,CK,Senegal
109,Chris Löwe,1989/04/16,Defender,CL,Germany
110,Chris Mepham,1997/11/05,CB,CM,Wales
111,Chris Smalling,1989/11/22,CB,CS,England
112,Chris Wood,1991/12/07,ST,CW,New Zealand
113,Christian Atsu Twasam,1992/01/10,MF,CAT,Ghana
114,Christian Benteke,1990/12/03,ST,CB,Belgium
115,Christian Eriksen,1992/02/14,MF,CE,Denmark
116,Christian Fuchs,1986/04/07,LB,CF,Austria
117,Christian Kabasele,1991/02/24,Defender,CK,Belgium
118,Christopher Schindler,1990/04/29,CB,CS,Germany
119,Ciaran Clark,1989/09/26,CB,CC,Republic of Ireland
120,Claudio Bravo,1983/04/13,GK,CB,Chile
121,Collin Quaner,1991/06/18,ST,CQ,Germany
122,Connor Wickham,1993/03/31,ST,CW,England
123,Conor Coady,1993/02/25,MF,CC,England
124,Conor Coventry,2000/03/25,MF,CC,Republic of Ireland
125,Craig Cathcart,1989/02/06,CB,CC,Northern Ireland
126,Curtis Jones,2001/01/30,MF,CJ,England
127,Cyrus Christie,1992/09/30,Defender,CC,Republic of Ireland
128,Dale Stephens,1989/06/12,MF,DS,England
129,Dan Burn,1992/05/09,LB/CB,DB,England
130,Dan Gosling,1990/02/01,MF,DG,England
131,Daniel Amartey,1994/12/21,MF,DA,Ghana
132,Daniel Sturridge,1989/09/01,ST,DS,England
133,Daniel Williams,1989/03/08,MF,DW,USA
134,Danilo,1991/07/15,RB/LB,D,Brazil
135,Danny Drinkwater,1990/03/05,MF,DD,England
136,Danny Ings,1992/07/23,ST,DI,England
137,Danny Rose,1990/07/02,LB,DR,England
138,Danny Simpson,1987/01/04,RB,DS,England
139,Danny Ward,1993/06/22,GK,DW,Wales
140,Danny Ward,1990/12/09,ST,DW,England
141,Danny Welbeck,1990/11/26,ST,DW,England
142,Daryl Janmaat,1989/07/22,RB,DJ,Netherlands
143,David Brooks,1997/07/08,ST,DB,England
144,David Button,1989/02/27,GK,DB,England
145,David de Gea,1990/11/07,GK,DDG,Spain
146,David Junior Hoilett,1990/06/05,ST,DJH,Canada
147,David Luiz,1987/04/22,CB/DM,DL,Brazil
148,David Silva,1986/01/08,MF,DS,Spain
149,Davide Zappacosta,1992/06/11,RB,DZ,Italy
150,Davinson Sánchez,1996/06/12,CB,DS,Colombia
151,Davy Pröpper,1991/09/02,MF,DP,Netherlands
152,DeAndre Yedlin,1993/07/09,RB,DY,USA
153,Declan Rice,1999/01/14,MF,DR,Republic of Ireland
154,Dejan Lovren,1989/07/05,CB,DL,Croatia
155,Dele Alli,1996/04/11,MF,DA,England
156,Demarai Gray,1996/06/28,MF,DG,England
157,Demeaco Duhaney,1998/10/13,Defender,DD,England
158,Denis Odoi,1988/05/27,Defender,DO,Belgium
159,Denis Suárez,1994/01/06,MF,DS,Spain
160,Diego Rico,1993/02/23,Defender,DR,Spain
161,Diogo Dalot,1999/03/18,RB,DD,Portugal
162,Diogo José Teixeira da Silva,1996/12/04,MF,DJT,Portugal
163,Divock Origi,1995/04/18,ST,DO,Belgium
164,Domingos Quina,1999/11/18,MF,DQ,Portugal
165,Dominic Calvert-Lewin,1997/03/16,ST,DC,England
166,Dominic Solanke,1997/09/14,ST,DS,England
167,Dwight McNeil,1999/11/22,ST,DM,England
168,Eden Hazard,1991/01/07,MF,EH,Belgium
169,Ederson,1993/08/17,GK,E,Brazil
170,Edward Nketiah,1999/05/30,ST,EN,England
171,Elias Kachunga,1992/04/22,ST,EK,Congo DR
172,Emerson Hyndman,1996/04/09,MF,EH,USA
173,Emerson Palmieri,1994/08/03,LB,EP,Italy
174,Emile Smith Rowe,2000/07/28,MF,ESR,England
175,Emiliano Martínez,1992/09/02,GK,EM,Argentina
176,Eric Bailly,1994/04/12,CB,EB,Ivory Coast
177,Eric Dier,1994/01/15,MF,ED,England
178,Erik Durm,1992/05/12,Defender,ED,Germany
179,Erik Lamela,1992/03/04,MF,EL,Argentina
180,Ethan Ampadu,2000/09/14,MF,EA,Wales
181,Étienne Capoue,1988/07/11,MF,ÉC,France
182,Fabián Balbuena,1991/08/23,Defender,FB,Paraguay
183,Fabian Delph,1989/11/21,MF,FD,England
184,Fabian Schär,1991/12/20,CB,FS,Switzerland
185,Fabinho,1993/10/23,MF,F,Brazil
186,Fabricio Martín Agosto Ramírez,1987/12/31,GK,FMA,Spain
187,Faustino Marcos Alberto Rojo,1990/03/20,Defender,FMA,Argentina
188,Federico Fernández,1989/02/21,Defender,FF,Argentina
189,Felipe Anderson,1993/04/15,MF,FA,Brazil
190,Fernandinho,1985/05/04,MF,F,Brazil
191,Fernando Llorente Torres,1985/02/26,ST,FLT,Spain
192,Florent Hadergjonaj,1994/07/31,Defender,FH,Switzerland
193,Florian Lejeune,1991/05/20,Defender,FL,France
194,Florin Andone,1993/04/11,ST,FA,Romania
195,Floyd Ayité,1988/12/15,MF,FA,Togo
196,Fousseni Diabaté,1995/10/18,MF,FD,Mali
197,Fraser Forster,1988/03/17,GK,FF,England
198,Fred,1993/03/05,MF,F,Brazil
199,Freddie Woodman,1997/03/04,GK,FW,England
200,Gabriel Jesus,1997/04/03,ST,GJ,Brazil
201,Gaëtan Bong Songo,1988/04/25,Defender,GBS,Cameroon
202,Gary Cahill,1985/12/19,CB,GC,England
203,Gary Madine,1990/08/24,ST,GM,England
204,George Marsh,1998/11/05,MF,GM,England
205,Georges-Kevin N'Koudou Mbida,1995/02/13,ST,GNM,France
206,Georginio Wijnaldum,1990/11/11,MF,GW,Netherlands
207,Gerard Deulofeu,1994/03/13,ST,GD,Spain
208,Glenn Murray,1983/09/25,ST,GM,England
209,Gonzalo Higuain,1987/12/10,ST,GH,Argentina
210,Grady Diangana,1998/04/19,MF,GD,England
211,Granit Xhaka,1992/09/27,MF,GX,Switzerland
212,Greg Cunningham,1991/01/31,Defender,GC,Republic of Ireland
213,Gylfi Sigurdsson,1989/09/08,MF,GS,Iceland
214,Hamza Choudhury,1997/10/01,MF,HC,England
215,Harry Arter,1989/12/28,MF,HA,Republic of Ireland
216,Harry Kane,1993/07/28,ST,HK,England
217,Harry Maguire,1993/03/05,CB,HM,England
218,Harry Winks,1996/02/02,MF,HW,England
219,Harvey Barnes,1997/12/09,MF,HB,England
220,Håvard Nordtveit,1990/06/21,MF,HN,Norway
221,Hector Bellerin,1995/03/19,RB,HB,Spain
222,Hélder Wander Sousa Azevedo Costa,1994/01/12,MF,HWS,Portugal
223,Henrikh Mkhitaryan,1989/01/21,MF,HM,Armenia
224,Heung-Min Son,1992/07/08,ST,HS,South Korea
225,Heurelho da Silva Gomes,1981/02/15,GK,HDS,Brazil
226,Hugo Lloris,1986/12/26,GK,HL,France
227,Ibrahima Cissé,1994/02/28,MF,IC,Belgium
228,Idrissa Gueye,1989/09/26,MF,IG,Senegal
229,İlkay Gündoğan,1990/10/24,MF,İG,Germany
230,Isaac Hayden,1995/03/22,MF,IH,England
231,Isaac Mbenza,1996/03/08,ST,IM,Belgium
232,Isaac Success,1996/01/07,ST,IS,Nigeria
233,Issa Diop,1997/01/09,CB,ID,France
234,Ivan Ricardo Neves Abreu Cavaleiro,1993/10/18,ST,IRN,Portugal
235,Jack Cork,1989/06/25,MF,JC,England
236,Jack Simpson,1996/12/18,Defender,JS,England
237,Jack Stephens,1994/01/27,CB,JS,England
238,Jack Wilshere,1992/01/01,MF,JW,England
239,Jacob Murphy,1995/02/24,MF,JM,England
240,Jaïro Riedewald,1996/09/09,Defender,JR,Netherlands
241,Jamaal Lascelles,1993/11/11,CB,JL,England
242,James Garner,2001/03/13,DM/CM,JG,England
243,James Maddison,1996/11/23,MF,JM,England
244,James McArthur,1987/10/07,MF,JM,Scotland
245,James McCarthy,1990/11/12,MF,JM,Republic of Ireland
246,James Milner,1986/01/04,MF,JM,England
247,James Tarkowski,1992/11/19,CB,JT,England
248,James Tomkins,1989/03/29,CB,JT,England
249,James Ward-Prowse,1994/11/01,MF,JW,England
250,Jamie Sterry,1995/11/21,Defender,JS,England
251,Jamie Vardy,1987/01/11,ST,JV,England
252,Jan Bednarek,1996/04/12,CB,JB,Poland
253,Jan Vertonghen,1987/04/24,CB,JV,Belgium
254,Jannik Vestergaard,1992/08/03,CB,JV,Denmark
255,Jason Puncheon,1986/06/26,MF,JP,England
256,Jason Steele,1990/08/18,GK,JS,England
257,Javier Hernandez,1988/06/01,ST,JH,Mexico
258,Javier Manquillo,1994/05/05,RB,JM,Spain
259,Jayson Molumby,1999/08/06,MF,JM,Republic of Ireland
260,Jazz Richards,1991/04/12,RB,JR,Wales
261,Jean Michau00ebl Seri,1991/07/19,MF,JMS,Ivory Coast
262,Jeff Hendrick,1992/01/31,MF,JH,Republic of Ireland
263,Jefferson Lerma,1994/10/25,MF,JL,Colombia
264,Jeffrey Schlupp,1992/12/23,LB/LM,JS,Ghana
265,Jermain Defoe,1982/10/07,ST,JD,England
266,Jesse Lingard,1992/12/15,MF,JL,England
267,João Moutinho,1986/09/08,MF,JM,Portugal
268,Joe Bennett,1990/03/28,Defender,JB,England
269,Joe Bryan,1993/09/17,Defender,JB,England
270,Joe Daniel Tupper,1997/11/15,GK,JDT,England
271,Joe Gomez,1997/05/23,CB,JG,England
272,Joe Hart,1987/04/19,GK,JH,England
273,Joe Powell,1998/10/30,ST,JP,England
274,Joe Ralls,1993/10/13,MF,JR,England
275,Joel Coleman,1995/09/26,GK,JC,England
276,Joel Matip,1991/08/08,CB,JM,Cameroon
277,Joel Ward,1989/10/29,RB,JW,England
278,Johann Berg Guðmunds­son,1990/10/27,MF,JBG,Iceland
279,John Ruddy,1986/10/24,GK,JR,England
280,John Stones,1994/05/28,CB,JS,England
281,Jon Gorenc Stankovič,1996/01/14,Defender,JGS,Slovenia
282,Jonas Lössl,1989/02/01,GK,JL,Denmark
283,Jonathan Hogg,1988/12/06,MF,JH,England
284,Jonathan Walters,1983/09/20,ST,JW,Republic of Ireland
285,Jonjo Shelvey,1992/02/27,MF,JS,England
